word	n	LineNum	WordCount	SentCount	WordLength	TextType	TextTypeN	Text	Part.of.Speech	Freq.Norm	OLD20	Bigram.Mean
yapışkan	1	11	145	18	8	inf_T2	inf	T2	adj	2.174	2.7	9139.87485714286
yapışkan	1	18	145	18	8	inf_T2	inf	T2	adj	2.174	2.7	9139.87485714286
yarışma	1	1	194	26	7	nar_T1	nar	T1	noun	199.486	2.05	13894.0596666667
yarışma	1	1	145	18	7	nar_T2	nar	T2	noun	199.486	2.05	13894.0596666667
yarışma	1	1	179	30	7	nar_T3	nar	T3	noun	199.486	2.05	13894.0596666667
yaşa	1	22	170	23	4	inf_T1	inf	T1	verb	1783.119	1.15	19459.147
yaşa	1	1	170	23	4	inf_T1	inf	T1	verb	1783.119	1.15	19459.147
yaşa	1	2	170	23	4	inf_T1	inf	T1	verb	1783.119	1.15	19459.147
yaşa	1	2	170	22	4	inf_T3	inf	T3	verb	1783.119	1.15	19459.147
yaşa	1	13	170	22	4	inf_T3	inf	T3	verb	1783.119	1.15	19459.147
yaşa	1	7	145	18	4	inf_T2	inf	T2	verb	1783.119	1.15	19459.147
yaşa	1	1	145	18	4	inf_T2	inf	T2	verb	1783.119	1.15	19459.147
yaşa	1	1	170	22	4	inf_T3	inf	T3	verb	1783.119	1.15	19459.147
yavaş	1	12	145	18	5	nar_T2	nar	T2	adj	141.656	1.7	12331.49725
yavaş	1	9	145	18	5	inf_T2	inf	T2	adj	141.656	1.7	12331.49725
yavaş	1	12	170	23	5	inf_T1	inf	T1	adj	141.656	1.7	12331.49725
yavaşla	1	21	194	26	7	nar_T1	nar	T1	verb	43.36	2.1	9451.84016666667
yavaşla	1	25	179	30	7	nar_T3	nar	T3	verb	43.36	2.1	9451.84016666667
yavru	1	22	170	22	5	inf_T3	inf	T3	noun	35.834	1.95	11298.37225
ye	1	13	170	22	2	inf_T3	inf	T3	verb	290.768	1	11701.111
ye	1	16	170	23	2	inf_T1	inf	T1	verb	290.768	1	11701.111
ye	1	18	145	18	2	inf_T2	inf	T2	verb	290.768	1	11701.111
ye	1	16	145	18	2	inf_T2	inf	T2	verb	290.768	1	11701.111
ye	1	14	170	23	2	inf_T1	inf	T1	verb	290.768	1	11701.111
ye	1	18	170	23	2	inf_T1	inf	T1	verb	290.768	1	11701.111
yedi	1	4	170	23	4	inf_T1	inf	T1	adj	114.834	1.7	6429.571
yedi	1	3	170	22	4	inf_T3	inf	T3	adj	114.834	1.7	6429.571
yedi	1	3	145	18	4	inf_T2	inf	T2	adj	114.834	1.7	6429.571
yengeç	1	16	170	23	6	inf_T1	inf	T1	noun	7.855	2.05	7330.963
yengeç	1	17	145	18	6	inf_T2	inf	T2	noun	7.855	2.05	7330.963
yengeç	1	13	170	22	6	inf_T3	inf	T3	noun	7.855	2.05	7330.963
yeni	1	9	170	23	4	inf_T1	inf	T1	adj	2245.685	1.4	13210.056
yeni	1	14	145	18	4	inf_T2	inf	T2	adj	2245.685	1.4	13210.056
yeni	1	8	170	22	4	inf_T3	inf	T3	adj	2245.685	1.4	13210.056
yenile	1	10	170	23	6	inf_T1	inf	T1	verb	115.591	1.9	10199.504
yenile	1	14	145	18	6	inf_T2	inf	T2	verb	115.591	1.9	10199.504
yer	1	12	179	30	3	nar_T3	nar	T3	noun	3223.172	1	21544.7855
yer	1	10	194	26	3	nar_T1	nar	T1	noun	3223.172	1	21544.7855
yer	1	14	145	18	3	inf_T2	inf	T2	noun	3223.172	1	21544.7855
yer	1	8	170	22	3	inf_T3	inf	T3	noun	3223.172	1	21544.7855
yer	1	9	170	23	3	inf_T1	inf	T1	noun	3223.172	1	21544.7855
yetenek	1	8	170	22	7	inf_T3	inf	T3	noun	139.891	2.45	6631.4185
yine	1	14	194	26	4	nar_T1	nar	T1	adv	748.681	1.75	6242.76633333334
yine	1	19	179	30	4	nar_T3	nar	T3	adv	748.681	1.75	6242.76633333334
yıl	1	22	170	23	3	inf_T1	inf	T1	noun	4628.956	1.6	6643.0665
yıl	1	7	145	18	3	inf_T2	inf	T2	noun	4628.956	1.6	6643.0665
yıl	1	21	170	22	3	inf_T3	inf	T3	noun	4628.956	1.6	6643.0665
yıldız	1	21	170	22	6	inf_T3	inf	T3	noun	332.19	1.95	3840.2158
yıldız	1	11	170	22	6	inf_T3	inf	T3	noun	332.19	1.95	3840.2158
yıldız	1	14	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	1	145	18	6	inf_T2	inf	T2	noun	332.19	1.95	3840.2158
yıldız	2	3	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	22	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	5	170	22	6	inf_T3	inf	T3	noun	332.19	1.95	3840.2158
yıldız	1	1	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	22	170	22	6	inf_T3	inf	T3	noun	332.19	1.95	3840.2158
yıldız	1	9	145	18	6	inf_T2	inf	T2	noun	332.19	1.95	3840.2158
yıldız	1	2	145	18	6	inf_T2	inf	T2	noun	332.19	1.95	3840.2158
yıldız	1	5	145	18	6	inf_T2	inf	T2	noun	332.19	1.95	3840.2158
yıldız	1	6	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	1	170	22	6	inf_T3	inf	T3	noun	332.19	1.95	3840.2158
yıldız	1	4	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	15	145	18	6	inf_T2	inf	T2	noun	332.19	1.95	3840.2158
yıldız	1	7	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	23	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yıldız	1	2	170	23	6	inf_T1	inf	T1	noun	332.19	1.95	3840.2158
yok	1	9	179	30	3	nar_T3	nar	T3	adj	1795.855	1	6937.8215
yok	1	7	194	26	3	nar_T1	nar	T1	adj	1795.855	1	6937.8215
yok	1	11	145	18	3	nar_T2	nar	T2	adj	1795.855	1	6937.8215
yok	1	6	145	18	3	inf_T2	inf	T2	adj	1795.855	1	6937.8215
yok	1	20	170	23	3	inf_T1	inf	T1	adj	1795.855	1	6937.8215
yok	1	10	145	18	3	nar_T2	nar	T2	adj	1795.855	1	6937.8215
yol	1	25	179	30	3	nar_T3	nar	T3	noun	1661.246	1	7497.735
yol	1	6	179	30	3	nar_T3	nar	T3	noun	1661.246	1	7497.735
yol	1	1	194	26	3	nar_T1	nar	T1	noun	1661.246	1	7497.735
yol	1	12	145	18	3	nar_T2	nar	T2	noun	1661.246	1	7497.735
yol	1	6	145	18	3	nar_T2	nar	T2	noun	1661.246	1	7497.735
yol	2	5	194	26	3	nar_T1	nar	T1	noun	1661.246	1	7497.735
yol	1	2	179	30	3	nar_T3	nar	T3	noun	1661.246	1	7497.735
yola	1	7	179	30	4	nar_T3	nar	T3	noun	0.082	1.5	8234.663
yön	1	21	170	23	3	inf_T1	inf	T1	noun	587.261	1.4	5938.5105
yumuşak	1	18	170	23	7	inf_T1	inf	T1	adj	38.914	2.65	1424.28233333333
yumuşak	1	16	170	22	7	inf_T3	inf	T3	adj	38.914	2.65	1424.28233333333
yumuşak	1	18	145	18	7	inf_T2	inf	T2	adj	38.914	2.65	1424.28233333333
yürü	1	4	194	26	4	nar_T1	nar	T1	verb	550.336	1.5	5520.025
yürü	1	5	179	30	4	nar_T3	nar	T3	verb	550.336	1.5	5520.025
yürü	1	5	145	18	4	nar_T2	nar	T2	verb	550.336	1.5	5520.025
yüz	1	28	179	30	3	nar_T3	nar	T3	adj	2158.574	1.5	6828.7205
yüz	1	24	194	26	3	nar_T1	nar	T1	adj	2158.574	1.5	6828.7205
zaman	1	25	179	30	5	nar_T3	nar	T3	noun	2290.315	1.75	8259.78175
zaman	1	6	194	26	5	nar_T1	nar	T1	noun	2290.315	1.75	8259.78175
zaman	1	12	145	18	5	nar_T2	nar	T2	noun	2290.315	1.75	8259.78175
zaman	1	26	179	30	5	nar_T3	nar	T3	noun	2290.315	1.75	8259.78175
zaman	1	7	145	18	5	nar_T2	nar	T2	noun	2290.315	1.75	8259.78175
zaman	1	21	194	26	5	nar_T1	nar	T1	noun	2290.315	1.75	8259.78175
zaman	1	8	179	30	5	nar_T3	nar	T3	noun	2290.315	1.75	8259.78175
zaman	1	22	194	26	5	nar_T1	nar	T1	noun	2290.315	1.75	8259.78175
zaman	1	7	170	22	5	inf_T3	inf	T3	noun	2290.315	1.75	8259.78175
zaman	1	8	170	22	5	inf_T3	inf	T3	noun	2290.315	1.75	8259.78175
